url,final_url,status,path,bytes,sha256,content_type,error
http://www.inf.ethz.ch/personal/markusp/teaching/guides/guide-tables.pdf,https://people.inf.ethz.ch/markusp/teaching/guides/guide-tables.pdf,downloaded,doc\writing\guide-tables.pdf,1096520,4e7018fcd2549815c5ec9ab95b48e889d470baffc802d4515457ec0f286ff989,application/pdf,
https://people.cs.umass.edu/~emery/misc/how-to.pdf,https://people.cs.umass.edu/~emery/misc/how-to.pdf,downloaded,doc\writing\how-to.pdf,177587,d7ff104eb93a8b1462b609b41a8b86ac70ad0fd1cef2aaa84aa02f9d65da22f9,application/pdf,
http://people.csail.mit.edu/fredo/PUBLI/writing.pdf,https://people.csail.mit.edu/fredo/PUBLI/writing.pdf,downloaded,doc\writing\writing.pdf,129968,dc912593c5182eed6eb2ccb4378f3c9e57d4f14c897ea90ff1b3f8d075221d96,application/pdf,
https://www.siggraph.org/sites/default/files/kajiya.pdf,https://www.siggraph.org/sites/default/files/kajiya.pdf,downloaded,doc\writing\kajiya.pdf,64545,140c254bb6273bbd4f85e92fb2d32e219fe4632cd6f89f0723425aa2c10bdc2f,application/pdf,
http://mri.beckman.illinois.edu/resources/good_paper.pdf,http://mri.beckman.illinois.edu/resources/good_paper.pdf,http-error,,0,,,HTTP 502
http://www.dgp.toronto.edu/~hertzman/advice/writing-technical-papers.pdf,https://www.dgp.toronto.edu/~hertzman/advice/writing-technical-papers.pdf,downloaded,doc\writing\writing-technical-papers.pdf,406461,05991d80cd9e5cc316054ce05964834683c7c8b50306577625bf4cdc1b54df4a,application/pdf,
http://tex.loria.fr/typographie/mathwriting.pdf,https://mirror.gutenberg-asso.fr/tex.loria.fr/,rejected-signature,,2988,,text/html,
http://web.cs.ucdavis.edu/~amenta/w10/writingman.pdf,https://web.cs.ucdavis.edu/~amenta/w10/writingman.pdf,downloaded,doc\writing\writingman.pdf,152441,626b22748937e9aab716b4398d8ecbc4dd2cc549e0af1eb3cbc38e92e7f99559,application/pdf,
https://cseweb.ucsd.edu/~swanson/papers/science-of-writing.pdf,https://cseweb.ucsd.edu/~swanson/papers/science-of-writing.pdf,downloaded,doc\writing\science-of-writing.pdf,223719,47015e3bb32fa86dae08d1fab7da780fce57ee15249c476e0366c31a33285787,application/pdf,
https://www.sslab.ics.keio.ac.jp/apsys2015/assets/howto-systems.pdf,https://www.sslab.ics.keio.ac.jp/apsys2015/assets/howto-systems.pdf,downloaded,doc\writing\howto-systems.pdf,989292,936d97d28a040d6b3e832fb9dbc755d827cd454aab1b84d233f02a99e4b16069,application/pdf,
https://people.eecs.berkeley.edu/~pattrsn/talks/BadCareer.pdf,https://people.eecs.berkeley.edu/~pattrsn/talks/BadCareer.pdf,downloaded,doc\writing\BadCareer.pdf,530824,b98e4731aafde59a59247693365c1a3c942bd4b6b37c9fa6995a6649ccca1fec,application/pdf,
https://physics.seu.edu.cn/_upload/tpl/09/42/2370/template2370/pdf/shi2.pdf,https://physics.seu.edu.cn/_upload/tpl/09/42/2370/template2370/pdf/shi2.pdf,downloaded,doc\writing\shi2.pdf,260846,385ff4f206f7ed2534f489a53c31a72343515efa79dadf31b01a04062f8b85d6,application/pdf,
https://pengsida.net/files/how_to_do_research_v3.pdf,https://pengsida.net/files/how_to_do_research_v3.pdf,downloaded,doc\research-methods\how_to_do_research_v3.pdf,1053046,288b83c82f9e42e698b5ad7282d6a87907678a3b609e3dee605b083e48b7949c,application/pdf,
https://web.stanford.edu/class/ee384m/Handouts/HowtoReadPaper.pdf,https://web.stanford.edu/class/ee384m/Handouts/HowtoReadPaper.pdf,downloaded,doc\research-methods\HowtoReadPaper.pdf,74475,d621df366fc99c6ce0e096817b6f14a084821352f173d6ef02b31eb237932197,application/pdf,
